#;German;English;German example sentence;English translation;Category;Masri;Gender;Conjugation;English in sentence;_1;_2;_3
272;Tür;door;Mach bitte die Tür zu.;Please close the door.;noun;باب;f;;door;;;
273;Kerl;guy;Kennst du den Kerl?;Do you know that guy?;noun;راجل / زلمة (slang for “guy”);m;;guy;;;
274;falsch;wrong;Das ist komplett falsch.;That is completely wrong.;adjective;غلط;;;wrong;;;
275;Uhr;clock / o’clock;Es ist fast neun Uhr.;It’s almost nine o’clock.;noun;ساعة;f;;o’clock;;;
276;anfangen;to start;Wir können jetzt anfangen.;We can start now.;verb;يبدأ;;;start;;;
277;glück;luck;Viel Glück!;Good luck!;noun;حظ / سعادة (حسب السياق);n;;luck;;;
278;lernen;to learn;Ich lerne Deutsch.;I’m learning German.;verb;يتعلّم;;lerne;learning;;;
279;schwer;difficult / heavy;Die Aufgabe ist echt schwer.;The task is really difficult.;adjective;صعب;;;difficult;;;
280;einige;some / several;Einige Leute wissen das.;Some people know that.;pronoun;كام واحد / شوية;;;Some;;;
281;schuld;fault / guilt;Das ist nicht meine Schuld.;That’s not my fault.;noun;ذنب / غلط;f;;fault;;;
282;schlimm;bad / terrible;Das Wetter ist schlimm.;The weather is terrible.;adjective;وحش قوي / سيّئ;;;terrible;;;
283;Waffe;weapon;Er hat keine Waffe.;He has no weapon.;noun;سلاح;f;;weapon;;;
284;retten;to save / rescue;Er hat mich gerettet.;He saved me.;verb;ينقذ;;gerettet;saved;;;
285;tragen;to carry / wear;Sie trägt ein rotes Kleid.;She is wearing a red dress.;verb;يشيل / يلبس;;trägt;wearing;;;
286;bisschen;a bit / a little;Ich brauche ein bisschen Zeit.;I need a little time.;noun;شوية;n;;a little;;;
287;scheint;seems;Es scheint zu regnen.;It seems to be raining.;verb;باين / شكله;;;seems;;;
288;darauf;on it / about it;Darauf habe ich keine Lust.;I don’t feel like it.;adverb;على ده / بخصوص ده;;;feel like it;;;
289;bald;soon;Ich komme bald zurück.;I’ll be back soon.;adverb;قريب;;;soon;;;
290;wünschte;wished;Ich wünschte, ich hätte mehr Zeit.;I wish I had more time.;verb;كنت أتمنى;;;wish;;;
291;kaufen;to buy;Ich muss Brot kaufen.;I need to buy bread.;verb;يشتري;;;buy;;;
292;Tod;death;Der Tod macht mir Angst.;Death scares me.;noun;موت;m;;Death;;;
293;ruhe;rest / quiet;Ruhe bitte!;Quiet please!;noun;هدوء / راحة;f;;Quiet;;;
294;kümmern;to take care of;Ich kümmere mich darum.;I’ll take care of it.;verb;يهتم بـ;;kümmere;take care of;;;
295;runter;down;Komm runter!;Come down!;adverb;لتحت / انزل;;;down;;;
296;voll;full;Der Bus ist heute richtig voll.;The bus is really full today.;adjective;مليان / جداً;;;full;;;
297;Monate;months;Ich war zwei Monate dort.;I was there for two months.;noun;شهور;m;;months;;;
298;ruhig;calm / quiet;Bleib ruhig!;Stay calm!;adjective;هادي;;;calm;;;
299;arm;poor;Er ist ziemlich arm.;He is pretty poor.;adjective;فقير / غلبان;;;poor;;;
300;Polizei;police;Die Polizei ist gerade unterwegs.;The police are on the way right now.;noun;شرطة;f;;police;;;
301;eigenen;own (plural/masc.);Ich habe meine eigenen Pläne.;I have my own plans.;adjective;بتاعي / خاصّي;;;own;;;
302;draußen;outside;Es ist kalt draußen.;It’s cold outside.;adverb;برّا;;;outside;;;
303;Idee;idea;Hast du eine Idee?;Do you have an idea?;noun;فكرة;f;;idea;;;
304;wagen;to dare;Ich wage es nicht, ihn zu fragen.;I don’t dare to ask him.;verb;يجرؤ / يخاطر;;wage;dare;;;
305;hinter;behind;Hinter dem Haus ist ein Garten.;Behind the house there is a garden.;prep;ورا;;;Behind;;;
306;herz;heart;Mein Herz schlägt schnell.;My heart is beating fast.;noun;قلب;n;;heart;;;
307;Geschichte;story / history;Kennst du die Geschichte?;Do you know the story?;noun;قصة / تاريخ;f;;story;;;
308;folgen;to follow;Bitte folge mir.;Please follow me.;verb;يتابع;;folge;follow;;;
309;versprochen;promised;Ich habe es dir versprochen.;I promised you.;verb;وعدت / متوعد;;;promised;;;
310;bestimmt;definitely / certainly;Das klappt bestimmt.;That will definitely work.;adverb;أكيد;;;definitely;;;
311;Teufel;devil;Was zum Teufel machst du?;What the hell are you doing?;noun;شيطان;m;;hell;;;
312;Tochter;daughter;Meine Tochter ist sechs Jahre alt.;My daughter is six years old.;noun;بنت (ابنة);f;;daughter;;;
313;ziemlich;quite / pretty;Das ist ziemlich gut.;That is pretty good.;adverb;جدًا / نوعًا ما (حسب الجملة);;;pretty;;;
314;vorbei;over / past;Das ist jetzt vorbei.;That's over now.;adverb;خلص / عدّى;;;over;;;
315;Schwester;sister;Meine Schwester wohnt in Hamburg.;My sister lives in Hamburg.;noun;أخت;f;;sister;;;
316;hi;hi;Hi, alles gut?;Hi, all good?;interjection;هاي;;;Hi;;;
317;Ahnung;idea / clue;Ich habe keine Ahnung.;I have no idea.;noun;فكرة / علم;f;;idea;;;
318;fast;almost;Ich bin fast fertig.;I’m almost done.;adverb;تقريبًا;;;almost;;;
319;Job;job;Ich habe einen neuen Job.;I got a new job.;noun;شغل;m;;job;;;
320;gerne;gladly / like to;Ich koche gerne.;I like cooking.;adverb;بحب / عادي عندي;;;like;;;
321;dran;next / someone’s turn;Wer ist dran?;Who’s next?;adverb;دورك / عليه الدور;;;next;;;
322;wach;awake;Ich bin noch nicht ganz wach.;I’m not fully awake yet.;adjective;صاحي;;;awake;;;
323;umbringen;to murder;Er wollte mich nicht umbringen.;He didn’t want to kill me.;verb;يقتل;;;kill;;;
324;gewinnen;to win;Wir können das Spiel gewinnen.;We can win the game.;verb;يكسب;;;win;;;
325;sogar;even;Er hat sogar an mich gedacht.;He even thought of me.;adverb;حتى;;;even;;;
326;überhaupt;at all;Hast du überhaupt Zeit?;Do you have time at all?;adverb;أصلاً / أساسًا;;;at all;;;
327;stark;strong;Der Kaffee ist ziemlich stark.;The coffee is pretty strong.;adjective;قوي;;;strong;;;
328;vertrauen;to trust;Ich vertraue dir.;I trust you.;verb;يثق / يِصق;;vertraue;trust;;;
329;Ort;place;Das ist echt ein schöner Ort.;That is really a nice place.;noun;مكان;m;;place;;;
330;drin;inside (coll.);Da ist nichts drin.;There’s nothing inside.;adverb;جوّه;;;inside;;;
331;frei;free;Morgen habe ich frei.;I have the day off tomorrow.;adjective;فاضي / حر;;;off;;;
332;lachen;to laugh;Sie lachen über den Witz.;They’re laughing at the joke.;verb;يضحك;;;laughing;;;
333;darum;that’s why / about that;Darum bin ich spät.;That’s why I’m late.;adverb;علشان كده;;;That’s why;;;
334;heiraten;to marry;Willst du mich heiraten?;Do you want to marry me?;verb;يتجوز;;;marry;;;
335;woher;from where;Woher kommst du?;Where are you from?;adverb;منين;;;Where;;;
336;steckt;is stuck / is in;Der Schlüssel steckt im Schloss.;The key is in the lock.;verb;مخبّي / موجود جوا;;;is in;;;
337;je;ever (in sentence structure/answer);Hast du das je gesehen?;Have you ever seen that?;adverb;أبداً / في أي وقت;;;ever;;;
338;Wasser;water;Ich trinke viel Wasser.;I drink a lot of water.;noun;مية;n;;water;;;
339;hasse;hate (1st person);Ich hasse Regen.;I hate rain.;verb;بكره;;;hate;;;
340;fliegen;to fly;Wir fliegen morgen nach Berlin.;We’re flying to Berlin tomorrow.;verb;يطير / يسافر بالطيران;;;flying;;;
341;laut;loud;Das ist zu laut!;That’s too loud!;adjective;بصوت عالي;;;loud;;;
342;während;during / while;Während des Essens telefoniere ich nicht.;I don’t call during meals.;prep;أثناء;;;during;;;
343;endlich;finally;Wir sind endlich da.;We’re finally there.;adverb;أخيرًا;;;finally;;;
344;erwartet;expected;Ich habe das nicht erwartet.;I didn’t expect that.;verb;متوقع;;;expect;;;
345;oben;above / upstairs;Das Badezimmer ist oben.;The bathroom is upstairs.;adverb;فوق;;;upstairs;;;
346;lügen;to lie;Bitte lüg mich nicht an.;Please don’t lie to me.;verb;يكذب;;lüg;lie;;;
347;laden;to load / store / invite (contextual);Ich lade dich zum Essen ein.;I invite you to dinner.;verb;يشحن / يحمل / ينزل (حسب الجملة);;lade;invite;;;
348;klingt;sounds;Das klingt gut.;That sounds good.;verb;صوته كده / بيطلع صوت زي;;;sounds;;;
349;Traum;dream;Ich hatte einen seltsamen Traum.;I had a strange dream.;noun;حلم;m;;dream;;;
350;niemals;never (stronger);Ich werde das niemals vergessen.;I will never forget that.;adverb;عمره ما / أبداً;;;never;;;
351;schließen;to close / to shut;Bitte schließ die Tür.;Please close the door.;verb;يقفل;;schließ;close;;;
352;glücklich;happy;Ich bin heute richtig glücklich.;I’m really happy today.;adjective;مبسوط;;;happy;;;
353;bezahlen;to pay (for something);Ich bezahle das später.;I’ll pay that later.;verb;يدفع;;bezahle;pay;;;
354;fünf;five;Ich brauche fünf Minuten.;I need five minutes.;number;خمسة;;;five;;;
355;etwa;about / approximately;Es dauert etwa eine Stunde.;It takes about an hour.;adverb;تقريبًا / يعني؟ (للاستفهام);;;about;;;
356;beweise;evidence / proofs;Hast du Beweise?;Do you have proof?;noun;أدلة;m;;proof;;;
357;ernst;serious;Das ist ein ernstes Problem.;That is a serious problem.;adjective;جد / بجدية;;;serious;;;
358;Feuer;fire (the flame itself);Das Feuer brennt noch.;The fire is still burning.;noun;نار;n;;fire;;;
359;miss;miss (as in: to miss sth.);Ich will dich nicht missverstehen.;I don’t want to misunderstand you.;verb;يفوّت / يفشل في ;;;misunderstand;;;
360;chance;chance;Das ist echt deine letzte Chance.;This is really your last chance.;noun;فرصة;f;;chance;;;
361;schießen;to shoot;Er hat in die Luft geschossen.;He shot into the air.;verb;يضرب نار / يطلق;;geschossen;shot;;;
362;Wahrheit;truth;Sag mir die Wahrheit.;Tell me the truth.;noun;الحقيقة;f;;truth;;;
363;anders;different;Heute ist alles anders.;Everything is different today.;adverb;مختلف;;;different;;;
364;gestern;yesterday;Gestern war ein langer Tag.;Yesterday was a long day.;adverb;امبارح;;;Yesterday;;;
365;Blut;blood;Es war viel Blut auf dem Boden.;There was a lot of blood on the floor.;noun;دم;n;;blood;;;
366;vier;four;Wir sind vier Personen.;We are four people.;number;أربعة;;;four;;;
367;verkaufen;to sell;Ich will mein Fahrrad verkaufen.;I want to sell my bike.;verb;يبيع;;;sell;;;
368;möglich;possible;Alles ist möglich.;Everything is possible.;adjective;ممكن;;;possible;;;
369;zimmer;room;Mein Zimmer ist klein.;My room is small.;noun;أوضة / غرفة;n;;room;;;
370;erklären;to explain;Kannst du mir das erklären?;Can you explain that to me?;verb;يشرح;;;explain;;;
371;Gesicht;face;Dein Gesicht kommt mir bekannt vor.;Your face looks familiar.;noun;وشّ;n;;face;;;
372;süß;sweet / cute;Dein Hund ist so süß.;Your dog is so cute.;adjective;كيوت / حلو;;;cute;;;
373;platz;place / spot;Da ist kein Platz mehr.;There’s no space left.;noun;مكان / مساحة;m;;space;;;
374;eben;just / exactly / simply;Ich komme eben aus der Uni.;I just came from uni.;adverb;لسه قايل / فعلاً / تمام (حسب السياق);;;just;;;
375;benutzt;used;Ich habe dein Handy nicht benutzt.;I didn’t use your phone.;verb;مستخدم / استعمل;;;use;;;
376;Freundin;girlfriend / female friend;Meine Freundin wartet draußen.;My girlfriend is waiting outside.;noun;صاحبتك / صاحبتو / بنت صاحبتي (حسب السياق);f;;girlfriend;;;
377;Antwort;answer;Ich habe noch keine Antwort bekommen.;I haven’t received an answer yet.;noun;إجابة / رد;f;;answer;;;
379;deshalb;therefore / that’s why;Es regnet, deshalb bleibe ich zu Hause.;It’s raining, therefore I stay home.;adverb;علشان كده;;;therefore;;;
380;ändern;to change;Ich möchte mein Leben ändern.;I want to change my life.;verb;يغيّر;;;change;;;
381;buch;book;Ich lese ein gutes Buch.;I’m reading a good book.;noun;كتاب;n;;book;;;
382;freut;is happy (3rd person);Es freut mich, dich zu sehen.;I’m happy to see you.;verb;مبسوط / فرحان;;;happy;;;
383;beginnen;to begin;Der Kurs beginnt um 9 Uhr.;The course starts at 9.;verb;يبدأ;;beginnt;starts;;;
384;Bett;bed;Ich gehe jetzt ins Bett.;I’m going to bed now.;noun;سرير;n;;bed;;;
385;schiff;ship;Das Schiff fährt morgen ab.;The ship leaves tomorrow.;noun;مركب;n;;ship;;;
386;spaß;fun;Das macht echt Spaß.;That’s really fun.;noun;متعة / هزار;m;;fun;;;
387;zwischen;between;Zwischen uns ist nichts passiert.;Nothing happened between us.;prep;بين;;;between;;;
388;schreit;screams / is screaming;Das Baby schreit die ganze Nacht.;The baby screams all night.;verb;بيصوّت / بيزعّق;;;screams;;;
389;fest;firm / solid / fixed;Halt das fest!;Hold that tight!;adjective;جامد / ثابت;;;tight;;;
390;Hund;dog;Mein Hund schläft.;My dog is sleeping.;noun;كلب;m;;dog;;;
391;entschuldigung;apology;Entschuldigung, ich bin spät.;Sorry, I’m late.;noun;آسف / معلش;f;;Sorry;;;
392;oft;often;Ich gehe oft joggen.;I often go jogging.;adverb;كتير;;;often;;;
393;manchmal;sometimes;Manchmal brauche ich Ruhe.;Sometimes I need quiet.;adverb;ساعات;;;Sometimes;;;
394;solche;such;Ich mag solche Filme.;I like such movies.;adjective;زي دي / زي كده;;;such;;;
395;wiedersehen;to see again / goodbye;Bis bald! Auf Wiedersehen!;See you soon! Goodbye!;verb;أشوفك تاني;;;Goodbye;;;
396;wein;wine;Ich trinke keinen Wein.;I don’t drink wine.;noun;نبيذ / خمر;m;;wine;;;
397;aufhören;to stop (doing);Kannst du bitte aufhören?;Can you please stop?;verb;يوقف / يبطل;;;stop;;;
398;verdient;deserved / earned;Das hast du verdient.;You deserved that.;verb;يستاهل / كسب;;;deserved;;;
399;wohnen;to live (reside);Ich wohne in Leipzig.;I live in Leipzig.;verb;يعيش / يسكن;;wohne;live;;;
400;Bild;picture;Das ist echt ein schönes Bild.;That is really a beautiful picture.;noun;صورة;n;;picture;;;
401;äh;uh / um (filler);Äh, ich weiß nicht…;Uh, I don’t know…;interjection;إممم / يعني…;;;Uh;;;
402;versteckt;hidden;Das Geld ist gut versteckt.;The money is well hidden.;verb;مخبي / مستخبي;;;hidden;;;
403;Gefühl;feeling;Ich habe ein komisches Gefühl.;I have a strange feeling.;noun;إحساس;n;;feeling;;;
404;Nachricht;message / news;Ich habe eine Nachricht bekommen.;I got a message.;noun;رسالة / ميسج;f;;message;;;
405;schule;school;Die Schule beginnt um acht.;School starts at eight.;noun;مدرسة;f;;School;;;
406;unten;down / below;Dein Schlüssel liegt unten.;Your key is downstairs.;adverb;تحت;;;downstairs;;;
407;funktioniert;works / is working;Mein Handy funktioniert wieder.;My phone is working again.;verb;شغّال;;;is working;;;
408;Papa;dad;Mein Papa ruft mich an.;My dad is calling me.;noun;بابا;m;;dad;;;
409;bloß;just / only (warning);Sag mir bloß die Wahrheit.;Just tell me the truth.;adverb;بس / فقط;;;Just;;;
411;geschehen;to happen (serious);Was ist hier geschehen?;What happened here?;verb;يحصل;;;happened;;;
412;Arsch;ass (vulgar);Beweg deinen Arsch!;Move your ass!;noun;مؤخرة / ابن كذا (شتيمة خفيفة);m;;ass;;;
413;hart;hard;Das Leben ist manchmal hart.;Life is sometimes hard.;adjective;جامد / صعب;;;hard;;;
414;dauert;takes (time);Es dauert nur fünf Minuten.;It only takes five minutes.;verb;;;;takes;;;
415;böse;angry / evil;Bist du böse auf mich?;Are you mad at me?;adjective;زعلان / غضبان;;;mad;;;
416;werfen;to throw;Wirf den Ball!;Throw the ball!;verb;يرمي;;Wirf;Throw;;;
417;dumm;dumb / stupid;Das war eine dumme Idee.;That was a stupid idea.;adjective;غبي;;;stupid;;;
418;ehrlich;honest;Sei ehrlich mit mir.;Be honest with me.;adjective;بصراحة / بجد;;;honest;;;
419;zeug;stuff;Ich muss mein Zeug packen.;I need to pack my stuff.;noun;حاجات;n;;stuff;;;
420;brechen;to break;Er hat sich den Arm gebrochen.;He broke his arm.;verb;يكسر;;gebrochen;broke;;;
422;aussehen;to look / to appear;Du siehst müde aus.;You look tired.;verb;شكله / يبان;;siehst;look;;;
423;zahlen;to pay (the act itself);Wer zahlt heute?;Who’s paying today?;verb;يدفع;;zahlt;paying;;;
424;langsam;slow / slowly;Fahr bitte langsam.;Please drive slowly.;adverb;ببطء / بالراحة;;;slowly;;;
425;dasselbe;the same;Wir haben dasselbe gedacht.;We thought the same thing.;pronoun;نفس الحاجة;;;the same;;;
426;Nummer;number;Wie ist deine Nummer?;What’s your number?;noun;رقم;f;;number;;;
427;wohin;where to;Wohin gehst du?;Where are you going (to)?;adverb;رايح فين / لفين;;;Where;;;
428;leicht;easy / light;Das ist leicht zu lernen.;That is easy to learn.;adjective;خفيف / سهل;;;easy;;;
429;verbrechen;crime;Das ist echt ein ernstes Verbrechen.;That is really a serious crime.;noun;جريمة;n;;crime;;;
430;entscheiden;to decide;Ich kann mich nicht entscheiden.;I can’t decide.;verb;يقرّر;;;decide;;;
